#Test
1;-1.57;0;0.63;4;0;0.63;1
2;-1.57;0;1.25;4;0;1.25;1
3;-1.57;0;1.88;4;0;1.88;1
4;-1.57;0;2.5;4;0;2.5;1
5;-1.57;0;3.13;4;0;3.13;1
6;-1.57;0;3.75;4;0;3.75;1
7;-1.57;0;4.38;4;0;4.38;1
8;1.57;0;0.63;1;0;0.63;4
9;1.57;0;1.25;1;0;1.25;4
10;1.57;0;1.88;1;0;1.88;4
11;1.57;0;2.5;1;0;2.5;4
12;1.57;0;3.13;1;0;3.13;4
13;1.57;0;3.75;1;0;3.75;4
14;1.57;0;4.38;1;0;4.38;4







# 2 Roboty 
#1;1.57;   0;0.5;1.0;  0;1.8;4.0
#4;-1.57;  0;1.8;4.0;  0;0.5;1.0

# 4 Roboty 
#1;1.57;   0;0.5;1.0;  0;1.8;4.0;  0;0.5;1.0;  0;1.8;4.0
#2;1.57;   0;1.8;1.0;  0;0.5;4.0;  0;1.8;1.0;  0;0.5;4.0
#3;-1.57;  0;0.5;4.0;  0;1.8;1.0;  0;0.5;4.0;  0;1.8;1.0
#4;-1.57;  0;1.8;4.0;  0;0.5;1.0;  0;1.8;4.0;  0;0.5;1.0 

# 2 Roboty test RH
#1;1.57;   0;1.0;1.0;  0;1.0;4.0
#3;-1.57;  0;1.0;4.0;  0;1.0;1.0


#0;-1.57;  0;2.0;4.0;   2;1.5;3.0;    2;1.5;2.0;       0;2.0;1.0
#1;1.57;   0;1.0;1.0;   2;1.5;2.0;    2;1.5;3.0;       0;1.0;4.0
#2;1.57;   0;2.0;1.0;   2;1.5;2.0;    2;1.5;3.0;       0;1.0;4.0
#3;-1.57;  0;1.0;4.0;   2;1.5;3.0;    2;1.5;2.0;       0;2.0;1.0


# id;direction;List(margin;x;y)
#NARROW 2 vs 2
# 4 przejescie
#1;1.57;   0;0.5;1.0;   0.5;1.15;2.0;    0.5;1.15;3.0;       0;0.5;4.0
#2;1.57;   0;1.8;1.0;   0.5;1.15;2.0;    0.5;1.15;3.0;       0;1.8;4.0
#3;-1.57;  0;0.5;4.0;   0.5;1.15;3.0;    0.5;1.15;2.0;       0;0.5;1.0
#4;-1.57;  0;1.8;4.0;   0.5;1.15;3.0;    0.5;1.15;2.0;       0;1.8;1.0




# id;direction;List(margin;x;y)
#NARROW 2 vs 2
#0;-1.57;  0;2;4.0;   0.5;1.15;3.0;    0.5;1.15;2.0;       0;2;1.0
#1;-1.57;  0;1;4.0;   0.5;1.15;3.0;    0.5;1.15;2.0;       0;1;1.0
#2;1.57;   0;2;1.0;   0.5;1.15;2.0;    0.5;1.15;3.0;       0;2;4.0
#3;1.57;   0;1;1.0;   0.5;1.15;2.0;    0.5;1.15;3.0;       0;1;4.0




#1;-1.57; 1.0;1.15;4.7;  1.0;1.15;3.9;   1.0;1.15;2.7        ;1.0;1.15;2.25
#2;3.14;  1.0;2.65;3.3;  1.0;1.5;3.3;   1.0;0.6;3.3        ;1.0;0.2;3.3

#1;-1.57;    1.0;1.0;4.0     ;1.0;1.15;3.25   ;1.0;1.15;1.75;    1.0;1.0;1.0
#2;1.57;     1.0;1.25;1.0;1.0;1.15;1.75;1.0;1.15;3.25;3.0;1.25;4.0

#1;-1.57; 1.0;1.25;4.0;3.0;1.25;1.0
#2;1.57;     1.0;1.25;1.0;3.0;1.25;4.0

#3;1.57;     1.0;0.75;1.0;1.0;1.15;2.0;1.0;1.15;3.0;3.0;0.75;4.0

# id;direction;List(margin;x;y)
#NARROW 1 vs 1
#0;-1.57;  0;2;4.0;   0.5;1.15;3.0;    0.5;1.15;2.0;       0;1.5;1.0
#1;1.57;   0;2;1.0;   0.5;1.15;2.0;    0.5;1.15;3.0;       0;1.5;4.0

#NARROW 2 vs 1
#0;-1.57;  0;2.0;4.0;   1.5;1.5;3.0;    1.5;1.5;2.0;       0;2.0;1.0
#1;1.57;   0;1.0;1.0;   1.5;1.5;2.0;    1.5;1.5;3.0;       0;2.0;4.0
